customer_id,vip_customer_flag,business_name,contact_name,email_address,phone_number,postal_address
10317333,0,,Zephr Fry,a@nibhdolor.com,(166) 472-2547,"6 Manitowish Trail, Topeka, KS 66642"
10432066,0,,Shafira Bennett,nascetur@sitametmetus.org,(279) 911-0843,"9 Roth Place, Dayton, OH 45454"
12009414,0,,Josiah Wagner,orci.luctus@semut.org,(700) 742-7671,"58 Melvin Pass, Huntsville, AL 35815"
12995271,0,,Jerry Gill,taciti@vehicula.edu,(491) 955-1047,"229 Golden Leaf Road, Gadsden, AL 35905"
14062475,0,,Oleg Merritt,Vestibulum.ante.ipsum@sapienimperdiet.edu,(513) 912-4721,"874 Leroy Hill, Santa Rosa, CA 95405"
14490701,0,,Rebekah Nelson,pretium.et@egestaslacinia.ca,(447) 121-6473,"8117 Straubel Plaza, Jamaica, NY 11480"
15009985,0,,Arden Bennett,congue.a@lorem.edu,(959) 194-1875,"6502 Montana Junction, New Orleans, LA 70174"
16132402,0,,Jaime Craig,rhoncus@facilisis.co.uk,(375) 915-2089,"7189 Pankratz Point, Dayton, OH 45454"
18337833,0,,Ronan Mendez,risus@feugiatnonlobortis.co.uk,(302) 847-0643,"3849 Northport Parkway, Appleton, WI 54915"
20763704,0,,Malik Faulkner,Nullam.suscipit.est@ametornare.com,(186) 520-2519,"8 Gerald Point, Orlando, FL 32868"
24719539,0,,Clementine Oliver,purus@luctus.edu,(603) 332-7827,"6 Granby Drive, Topeka, KS 66606"
26423302,0,,Wesley Rush,massa.Mauris.vestibulum@In.co.uk,(722) 576-0563,"24812 Cordelia Trail, Corpus Christi, TX 78475"
26868974,0,,Dorian Dale,adipiscing.elit.Etiam@euultricessit.edu,(311) 929-6026,"9843 Graceland Point, Lansing, MI 48930"
29085850,0,,Raja Wells,arcu.eu@eusem.com,(244) 178-1821,"62 Warner Place, Washington, DC 20525"
30936177,0,,Shellie Velez,dignissim.tempor@tincidunt.edu,(197) 282-8671,"5204 Beilfuss Place, Columbus, OH 43204"
32554210,0,,Nash Vasquez,ut.nisi@elitAliquam.ca,(989) 937-6199,"39464 Debra Lane, Young America, MN 55557"
32767954,0,,Laith Jordan,ligula.tortor@Curabituregestas.co.uk,(868) 659-6715,"7468 Talmadge Junction, Baltimore, MD 21275"
34819782,0,,Melyssa Gates,ipsum.cursus.vestibulum@semperegestas.com,(263) 976-2589,"419 Tennyson Court, San Luis Obispo, CA 93407"
37184781,0,,Rose Holcomb,sagittis.placerat.Cras@pharetra.edu,(129) 823-5800,"6755 Burrows Center, Columbus, GA 31914"
